UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
P,7,2020,999,330113980,162671621,167442359,124656578,126666879,21317018,23145867,2131720,2101868,9496909,10390223,417959,405282,4651437,4732240,128805088,130865761,23417881,25327751,3499330,3530408,11223420,12111809,827543,818032,131567861,136922580,97327320,99894028,19845144,21626080,1206786,1244607,9192565,10084762,306862,301639,3689184,3771464,100616345,103237371,21497629,23352004,2173577,2275405,10654282,11541561,626929,625784,31103760,30519779,27329258,26772851,1471874,1519787,924934,857261,304344,305461,111097,103643,962253,960776,28188743,27628390,1920252,1975747,1325753,1255003,569138,570248,200614,192248
P,7,2020,0,3783630,1935426,1848204,1387858,1324907,291485,278684,31306,29875,95842,91593,5700,5475,123235,117670,1501719,1433625,359520,343651,54996,52501,140354,134086,14166,13559,1427430,1363307,954053,910835,264254,252674,16078,15348,90255,86274,3899,3750,98891,94426,1045881,998517,319926,305836,31501,30078,127261,121601,10107,9682,507996,484897,433805,414072,27231,26010,15228,14527,5587,5319,1801,1725,24344,23244,455838,435108,39594,37815,23495,22423,13093,12485,4059,3877
P,7,2020,1,3797933,1942406,1855527,1396997,1331567,291559,281500,31219,29894,98738,93819,5741,5539,118152,113208,1505894,1435905,355666,343207,54624,52274,142005,135057,14016,13439,1437173,1371800,964946,918131,264494,255452,16112,15373,93153,88509,3943,3799,94525,90536,1052483,1001969,316680,305689,31384,29954,129152,122805,10033,9614,505233,483727,432051,413436,27065,26048,15107,14521,5585,5310,1798,1740,23627,22672,453411,433936,38986,37518,23240,22320,12853,12252,3983,3825
P,7,2020,2,3843655,1965551,1878104,1414523,1346422,293916,286256,31440,30200,102343,96672,5822,5605,117507,112949,1522730,1450430,357175,347642,54931,52704,145681,137889,14114,13502,1455799,1388429,978253,927769,266640,259830,16258,15496,96711,91310,4014,3849,93923,90175,1065139,1011182,318029,309675,31595,30141,132806,125600,10134,9671,509752,489675,436270,418653,27276,26426,15182,14704,5632,5362,1808,1756,23584,22774,457591,439248,39146,37967,23336,22563,12875,12289,3980,3831
P,7,2020,3,3934652,2011791,1922861,1446183,1376797,300686,293145,32107,30846,106761,100906,5984,5760,120070,115407,1556725,1483054,365265,355840,56085,53813,151132,143074,14460,13833,1489154,1420651,998732,947313,272757,266036,16579,15808,100998,95430,4131,3961,95957,92103,1087472,1032491,325186,316903,32220,30735,137982,130523,10395,9915,522637,502210,447451,429484,27929,27109,15528,15038,5763,5476,1853,1799,24113,23304,469253,450563,40079,38937,23865,23078,13150,12551,4065,3918
P,7,2020,4,4010032,2048631,1961401,1471311,1401973,306606,300133,32661,31567,109974,104389,6111,5930,121968,117409,1583556,1510020,372230,363916,57017,54969,155074,147276,14718,14167,1511707,1444689,1011154,959617,278255,272573,16731,16068,104055,98787,4208,4083,97304,93561,1101093,1046087,331455,324248,32559,31243,141606,134450,10561,10158,536924,516712,460157,442356,28351,27560,15930,15499,5919,5602,1903,1847,24664,23848,482463,463933,40775,39668,24458,23726,13468,12826,4157,4009
P,7,2020,5,4054021,2072276,1981745,1484276,1414884,310699,302837,32831,31780,115286,108383,6171,5968,123013,117893,1597465,1523373,376816,366653,57401,55269,160812,151686,14881,14200,1536066,1465022,1025168,972751,281616,274774,17084,16329,109525,102863,4306,4144,98367,94161,1116057,1059766,335210,326510,33150,31618,147600,139014,10782,10261,536210,516723,459108,442133,29083,28063,15747,15451,5761,5520,1865,1824,24646,23732,481408,463607,41606,40143,24251,23651,13212,12672,4099,3939
P,7,2020,6,4038332,2066264,1972068,1483285,1409385,310323,302286,33144,31928,112029,106193,5953,5760,121530,116516,1595118,1516606,375176,365466,57608,55291,157247,148740,14707,14012,1534322,1461834,1027884,972799,281203,274372,17426,16683,106488,100904,4185,4038,97136,93038,1117670,1058787,333725,325613,33452,31931,144266,136361,10655,10134,531942,510234,455401,436586,29120,27914,15718,15245,5541,5289,1768,1722,24394,23478,477448,457819,41451,39853,24156,23360,12981,12379,4052,3878
P,7,2020,7,4026953,2057930,1969023,1475631,1408109,308907,300890,32909,31677,114349,107763,5991,5726,120143,114858,1586051,1513619,372606,362560,57195,54992,159411,150185,14838,13997,1529175,1459080,1021754,970602,280595,273512,17612,16837,108979,102480,4251,4001,95984,91648,1110346,1055139,332116,323440,33530,32099,146667,137864,10774,10056,528755,509943,453877,437507,28312,27378,15297,14840,5370,5283,1740,1725,24159,23210,475705,458480,40490,39120,23665,22893,12744,12321,4064,3941
P,7,2020,8,4031684,2060638,1971046,1483657,1415475,309537,300550,33587,32317,109757,104087,5755,5534,118345,113083,1592404,1519384,372509,361095,57913,55556,153655,145702,14370,13758,1527717,1457519,1025791,973898,281556,273663,17624,17006,104477,99020,4022,3871,94247,90061,1112760,1057008,332360,322598,33520,32182,141115,133687,10358,9897,532921,513527,457866,441577,27981,26887,15963,15311,5280,5067,1733,1663,24098,23022,479644,462376,40149,38497,24393,23374,12540,12015,4012,3861
